日付,店舗,カテゴリ,商品名,単価,個数,売上金額
2025-01-01,大阪支店,電子機器,ノートPC,120000,1,120000
2025-01-01,福岡支店,電子機器,ノートPC,120000,3,360000
2025-01-01,名古屋支店,電子機器,モニター,25000,4,100000
2025-01-01,東京本店,周辺機器,キーボード,8000,5,40000
2025-01-02,東京本店,アクセサリ,USBケーブル,1000,5,5000
2025-01-03,福岡支店,電子機器,モニター,25000,3,75000
2025-01-03,東京本店,電子機器,ノートPC,120000,1,120000
2025-01-03,名古屋支店,アクセサリ,USBケーブル,1000,5,5000
2025-01-03,福岡支店,周辺機器,キーボード,8000,3,24000
2025-01-04,東京本店,電子機器,ノートPC,120000,3,360000
2025-01-04,大阪支店,アクセサリ,USBケーブル,1000,4,4000
2025-01-04,福岡支店,アクセサリ,USBケーブル,1000,4,4000
2025-01-04,名古屋支店,電子機器,ノートPC,120000,5,600000
2025-01-04,札幌支店,アクセサリ,USBケーブル,1000,1,1000
2025-01-04,東京本店,家具,オフィスチェア,35000,2,70000
2025-01-04,大阪支店,周辺機器,キーボード,8000,4,32000
2025-01-04,札幌支店,電子機器,ノートPC,120000,3,360000
2025-01-04,福岡支店,アクセサリ,USBケーブル,1000,5,5000
2025-01-05,福岡支店,電子機器,ノートPC,120000,3,360000
2025-01-05,札幌支店,電子機器,モニター,25000,5,125000
2025-01-05,札幌支店,周辺機器,キーボード,8000,4,32000
2025-01-05,福岡支店,電子機器,モニター,25000,2,50000
2025-01-05,東京本店,電子機器,ノートPC,120000,2,240000
2025-01-05,札幌支店,周辺機器,キーボード,8000,1,8000
2025-01-06,東京本店,周辺機器,キーボード,8000,5,40000
2025-01-07,福岡支店,アクセサリ,USBケーブル,1000,2,2000
2025-01-07,福岡支店,家具,オフィスチェア,35000,4,140000
2025-01-07,東京本店,家具,オフィスチェア,35000,2,70000
2025-01-08,札幌支店,アクセサリ,USBケーブル,1000,2,2000
2025-01-08,名古屋支店,電子機器,ノートPC,120000,5,600000
2025-01-08,東京本店,周辺機器,マウス,3000,1,3000
2025-01-08,名古屋支店,電子機器,ノートPC,120000,3,360000
2025-01-08,福岡支店,周辺機器,キーボード,8000,1,8000
2025-01-08,福岡支店,周辺機器,マウス,3000,1,3000
2025-01-09,名古屋支店,周辺機器,マウス,3000,4,12000
2025-01-09,福岡支店,周辺機器,キーボード,8000,3,24000
2025-01-10,福岡支店,電子機器,モニター,25000,2,50000
2025-01-10,東京本店,アクセサリ,USBケーブル,1000,5,5000
2025-01-10,東京本店,電子機器,モニター,25000,1,25000
2025-01-10,東京本店,電子機器,ノートPC,120000,1,120000
2025-01-11,大阪支店,周辺機器,キーボード,8000,4,32000
2025-01-11,福岡支店,家具,オフィスチェア,35000,5,175000
2025-01-11,福岡支店,アクセサリ,USBケーブル,1000,3,3000
2025-01-12,名古屋支店,家具,オフィスチェア,35000,2,70000
2025-01-12,大阪支店,周辺機器,マウス,3000,1,3000
2025-01-12,名古屋支店,電子機器,ノートPC,120000,5,600000
2025-01-12,札幌支店,周辺機器,キーボード,8000,5,40000
2025-01-12,名古屋支店,電子機器,ノートPC,120000,3,360000
2025-01-13,札幌支店,電子機器,モニター,25000,3,75000
2025-01-13,福岡支店,周辺機器,マウス,3000,2,6000
2025-01-13,大阪支店,周辺機器,マウス,3000,3,9000
